,salary,jobcity,gender,10percentage,10board,12percentage,12board,collegetier,degree,specialization,collegegpa,collegecitytier,collegestate,Tenure,Join_age,designations,Personality_ts
22,190000,Hyderabad,m,92.5,State,95.2,State,2,Bachelors,ECE,76.0,0,Telangana,2,21,developer,-0.73366
23,180000,Bangalore,m,70.0,State,43.42,State,2,Bachelors,ECE,55.52,1,Karnataka,1,28,engineer,-2.0808799999999996
24,335000,Hyderabad,m,88.0,State,90.0,State,2,Bachelors,CSE,76.0,1,Telangana,1,21,analyst,-0.062060000000000025
25,435000,Gurgaon,f,86.8,State,82.8,State,2,Bachelors,CSE,78.0,0,Haryana,3,21,analyst,0.11390000000000003
26,345000,Bangalore,m,90.88,State,82.5,State,2,Bachelors,CSE,66.15,0,Orissa,2,23,others,0.43436
27,300000,Bangalore,m,76.8,State,83.0,State,2,Bachelors,ECE,76.44,0,Uttar Pradesh,1,21,others,0.44855999999999996
28,145000,Noida,m,84.0,State,68.0,State,2,Bachelors,ECE,72.0,0,Uttar Pradesh,0,21,engineer,0.35558
30,530000,Hyderabad,m,84.0,State,92.0,State,2,Bachelors,CSE,77.2,0,Andhra Pradesh,4,22,engineer,-0.39278
31,340000,Bangalore,m,77.2,State,86.1,State,2,Bachelors,CSE,71.0,0,Tamil Nadu,1,22,engineer,0.21374000000000004
32,360000,Noida,f,87.0,State,84.4,State,1,Bachelors,CSE,79.3,1,Delhi,2,22,developer,-0.31410000000000005
33,145000,Kolkata,m,73.0,State,68.4,State,2,Bachelors,CSE,74.3,1,West Bengal,1,22,developer,-0.024540000000000006
34,215000,Bangalore,f,71.0,State,68.0,State,2,Bachelors,CSE,70.86,0,Uttar Pradesh,0,26,executive,0.4199400000000001
35,350000,mohali,f,85.0,State,61.0,State,2,Bachelors,ECE,64.98,0,Punjab,1,24,manager,0.43872
36,270000,Hyderabad,f,91.5,State,93.8,State,1,Bachelors,CSE,74.1,1,Telangana,2,21,engineer,-0.031779999999999975
37,80000,Gurgaon,m,77.0,State,85.4,State,2,Bachelors,ECE,63.9,0,Punjab,5,17,others,-0.24508000000000005
38,330000,Bangalore,m,52.33,State,67.0,State,2,Masters,CSE,77.15,0,Uttar Pradesh,1,23,engineer,0.69286
39,200000,,m,88.0,State,89.66,State,2,Bachelors,ECE,76.4,0,Kerala,0,22,trainee,-0.14676000000000006
40,120000,Jhansi,m,66.6,State,68.6,State,2,Bachelors,ME,60.22,0,Uttar Pradesh,1,22,manager,0.054279999999999995
41,145000,Delhi,m,75.0,State,60.0,State,2,Bachelors,CSE,66.0,0,Uttar Pradesh,0,22,developer,-1.14938
42,350000,Bangalore,m,91.4,State,73.0,State,1,Bachelors,CSE,71.0,0,Uttar Pradesh,1,23,engineer,-0.5546599999999999
43,120000,Hyderabad ,m,59.0,State,87.7,State,2,Bachelors,ECE,71.04,1,Telangana,1,21,developer,-1.16112
44,380000,Bangalore ,f,84.5,n/a,82.5,n/a,2,Bachelors,CSE,92.1,0,Karnataka,3,23,analyst,0.20324
45,110000,Chennai,m,95.8,State,87.16,State,2,Bachelors,ME,79.0,0,Tamil Nadu,1,22,engineer,-0.6830999999999999
46,205000,noida,f,85.6,State,82.0,State,2,Bachelors,CSE,74.01,0,Haryana,2,22,engineer,0.24261999999999997
47,95000,delhi,m,69.6,State,71.4,State,2,Bachelors,CSE,77.0,0,Orissa,1,20,developer,0.27077999999999997
48,390000,Bangalore,m,86.6,State,75.0,State,2,Bachelors,CSE,74.0,0,Madhya Pradesh,2,22,engineer,-0.263814
49,270000,Bangalore,m,81.92,State,61.46,State,2,Bachelors,CSE,57.54,1,Karnataka,2,23,analyst,0.74222
50,60000,Bhubaneswar,f,66.5,State,49.5,State,2,Masters,CSE,89.7,0,Orissa,2,23,trainee,-0.3773400000000001
51,120000,Hyderabad,m,80.0,State,72.5,State,2,Bachelors,CSE,57.8,0,Andhra Pradesh,0,24,developer,-0.59688
52,400000,Navi Mumbai,m,85.2,State,81.5,State,2,Bachelors,CSE,57.64,0,Uttar Pradesh,0,23,engineer,0.7080599999999999
53,350000,Mumbai,m,89.25,State,78.0,State,2,Bachelors,EEE,80.0,1,West Bengal,1,23,engineer,-0.78978
54,120000,New Delhi,f,58.4,State,64.8,State,2,Masters,CSE,80.0,0,Haryana,1,22,developer,-0.17343999999999998
55,250000,Mangalore,m,90.8,State,90.1,State,2,Bachelors,CSE,67.7,0,Karnataka,1,22,engineer,0.15885999999999995
56,240000,Rewari,f,78.0,State,70.1,State,2,Bachelors,ECE,68.2,0,Haryana,2,24,others,-0.22186
57,525000,Hyderabad,f,89.88,n/a,95.4,n/a,2,Bachelors,ECE,80.8,1,Telangana,3,23,engineer,-0.22716000000000003
58,200000,Gaziabaad,m,63.3,State,61.1,State,2,Bachelors,ECE,66.9,0,Uttar Pradesh,1,23,engineer,-0.65798
59,120000,Bangalore,m,72.0,State,49.0,State,2,Bachelors,CSE,55.0,0,Karnataka,4,32,engineer,-0.49114
60,305000,Chennai,f,83.0,State,79.0,State,2,Bachelors,CSE,70.0,1,Telangana,2,22,engineer,0.26604
61,300000,Chennai,m,85.3,State,88.3,State,2,Bachelors,CSE,85.0,1,Tamil Nadu,1,21,developer,0.95702
62,145000,Noida,f,81.0,State,77.8,State,2,Bachelors,ECE,65.35,0,Uttar Pradesh,1,23,engineer,-0.7419600000000001
63,150000,Bhiwadi,m,60.66,State,62.4,State,2,Bachelors,ME,69.3,0,Uttar Pradesh,1,22,trainee,-2.52002
64,600000,Gurgaon,m,78.0,State,83.0,State,1,Bachelors,CSE,72.13,1,Delhi,2,24,engineer,0.5009399999999999
65,310000,Mysore,m,89.37,State,79.0,State,2,Bachelors,ECE,70.0,0,West Bengal,0,24,engineer,0.4058400000000001
66,455000,Bangalore,m,90.0,State,94.4,State,2,Bachelors,ECE,76.12,0,Andhra Pradesh,2,22,engineer,-0.33087999999999995
67,400000,Bangalore,f,81.0,State,79.0,State,2,Bachelors,ECE,71.5,0,Uttar Pradesh,1,23,engineer,-1.8054999999999999
68,150000,Chennai,f,78.0,State,86.67,State,2,Bachelors,ECE,77.55,1,Tamil Nadu,2,21,others,0.08004000000000024
69,250000,Mangalore,m,84.4,State,73.2,State,2,Bachelors,CSE,70.0,0,Punjab,0,22,developer,-0.030880000000000008
70,320000,Chennai,m,89.0,State,92.0,State,2,Bachelors,EEE,76.4,1,Telangana,1,22,engineer,-0.9447199999999999
71,250000,Rajkot,m,86.0,State,64.0,State,2,Bachelors,CSE,61.17,0,Gujarat,1,24,engineer,0.9467199999999998
72,200000,Bangalore,m,85.0,State,75.0,State,2,Bachelors,CSE,60.0,1,Karnataka,1,22,engineer,0.23817999999999992
73,240000,Greater Noida,m,75.0,State,64.0,State,2,Bachelors,CSE,67.0,0,Uttar Pradesh,1,22,developer,0.3125
74,120000,Indore,f,86.0,State,77.0,State,2,Bachelors,CSE,75.0,0,Madhya Pradesh,0,24,analyst,0.052539999999999996
75,300000,Bangalore,m,70.6,State,78.67,State,2,Bachelors,ECE,75.84,1,Karnataka,1,22,analyst,-0.41007999999999994
76,800000,Bangalore,m,93.44,State,90.0,State,2,Bachelors,CSE,87.6,0,Karnataka,3,21,engineer,0.07348
77,120000,,m,76.0,State,72.0,State,2,Bachelors,CSE,63.2,0,Tamil Nadu,1,22,engineer,-0.03598000000000001
78,325000,Mysore,f,86.4,State,78.2,State,2,Bachelors,ECE,73.5,1,Karnataka,1,21,engineer,0.7969200000000001
79,100000,,f,86.0,State,95.0,State,2,Bachelors,ECE,78.6,0,Telangana,1,21,developer,0.059940000000000014
80,300000,Bangalore,m,84.83,State,82.4,State,2,Bachelors,CSE,74.14,0,Uttar Pradesh,1,22,engineer,-0.3409
81,280000,New Delhi,m,72.3,State,60.2,State,2,Bachelors,ECE,69.38,1,Rajasthan,1,24,others,0.40658000000000005
82,215000,New Delhi,f,69.0,State,62.6,State,2,Bachelors,EEE,76.25,0,Madhya Pradesh,1,27,trainee,0.10310000000000001
83,145000,Jaipur,m,80.0,State,70.0,State,2,Bachelors,ECE,55.0,1,Rajasthan,0,21,others,0.5155000000000001
84,445000,Pune,f,73.33,n/a,71.33,n/a,2,Masters,CSE,61.0,1,Maharashtra,4,24,engineer,-0.7285599999999999
85,315000,noida ,m,86.16,State,70.08,State,2,Bachelors,ECE,63.13,0,Uttar Pradesh,0,22,engineer,0.40306
86,100000,Kolkata,f,75.0,State,78.0,State,2,Bachelors,CSE,71.1,1,West Bengal,2,26,developer,0.71242
87,200000,Noida,m,56.0,State,56.0,State,2,Masters,CSE,62.0,0,Uttar Pradesh,0,23,developer,0.25144
88,220000,Hyderabad,f,87.0,State,60.0,State,2,Bachelors,CSE,70.82,0,Uttar Pradesh,1,22,associate,0.88734
89,370000,Kolkata,m,79.25,State,80.0,State,2,Bachelors,CSE,79.9,0,West Bengal,2,22,engineer,0.10522000000000005
90,145000,Pune,m,88.66,State,84.33,State,2,Bachelors,ECE,60.0,1,Maharashtra,2,22,analyst,0.8147799999999998
91,275000,Bangalore,m,80.8,State,75.0,State,2,Bachelors,ECE,77.38,1,Karnataka,1,23,engineer,-0.29784
93,325000,Gurgaon,m,70.0,State,65.0,State,2,Bachelors,CSE,66.0,0,Chhattisgarh,1,22,engineer,-0.4200799999999999
94,275000,Bangalore,m,81.16,State,68.5,State,2,Bachelors,ECE,61.5,0,Orissa,0,23,others,0.39522
95,425000,HYDERABAD,f,83.5,State,94.2,State,2,Bachelors,CSE,88.2,0,Andhra Pradesh,3,22,engineer,0.6869859999999998
96,450000,Bangalore,m,65.0,State,66.0,ICSE,2,Bachelors,CSE,64.0,0,Uttar Pradesh,3,23,engineer,-0.22868000000000005
97,300000,Bangalore,f,88.0,State,88.0,State,2,Bachelors,CSE,70.12,0,Andhra Pradesh,1,22,developer,0.7736000000000002
98,470000,Jaipur,m,79.0,State,76.6,State,2,Bachelors,CSE,77.85,1,Rajasthan,4,23,others,-0.08506
99,120000,,m,55.6,State,50.8,State,2,Masters,CSE,80.03,1,West Bengal,1,26,executive,0.85064
100,300000,Bangalore,m,75.0,State,72.0,State,2,Bachelors,CSE,80.0,0,Uttar Pradesh,0,22,analyst,0.27393999999999996
101,205000,Chennai,m,84.6,n/a,66.5,n/a,2,Bachelors,EEE,66.7,1,Tamil Nadu,4,22,engineer,-0.14767999999999998
102,310000,Pune,m,79.0,State,76.4,State,2,Bachelors,ECE,65.0,0,Maharashtra,2,24,engineer,0.48206
103,300000,,f,62.0,State,61.0,State,2,Bachelors,CSE,70.0,0,Haryana,1,23,analyst,0.56832
104,460000,,m,62.0,State,61.0,State,2,Masters,CSE,63.0,0,Punjab,2,23,engineer,-1.26256
105,320000,,m,86.0,State,92.0,State,2,Bachelors,ECE,72.0,0,Andhra Pradesh,0,22,engineer,-0.12486
106,340000,Navi Mumbai,f,85.8,State,65.8,State,2,Bachelors,CSE,69.7,0,Uttar Pradesh,1,21,developer,0.42946
107,120000,Noida,m,68.4,State,61.0,State,2,Bachelors,CSE,62.2,1,Rajasthan,1,22,developer,-0.9030400000000001
108,100000,Noida,m,51.0,State,48.0,State,2,Masters,CSE,59.0,0,Uttar Pradesh,1,26,developer,0.3318
109,510000,Noida,m,79.6,State,73.2,State,2,Bachelors,ECE,66.96,1,Rajasthan,1,23,engineer,-0.041120000000000025
110,300000,Indore,m,63.4,State,63.0,State,2,Bachelors,ECE,69.3,0,Madhya Pradesh,3,23,engineer,-0.9956999999999999
111,480000,mysore,m,86.53,State,71.55,State,2,Bachelors,CSE,78.5,0,Orissa,4,22,others,0.22886
112,170000,,f,76.18,State,86.33,State,2,Bachelors,CSE,73.46,0,Tamil Nadu,1,22,others,0.9040199999999998
113,340000,Hyderabad,m,91.43,State,74.0,State,2,Bachelors,CSE,70.0,1,Telangana,0,24,engineer,-0.07533999999999999
114,640000,Bangalore,m,78.0,n/a,71.3,n/a,2,Bachelors,CSE,67.0,0,Madhya Pradesh,5,23,analyst,0.005620000000000003
115,330000,Chennai,m,76.17,State,72.0,State,2,Bachelors,CSE,78.0,0,Rajasthan,2,21,engineer,-0.4499000000000001
116,225000,THANE,m,82.4,State,72.0,State,2,Bachelors,ECE,64.06,0,Uttar Pradesh,1,24,engineer,0.5134
117,180000,Noida,m,58.0,State,57.6,State,2,Bachelors,CSE,61.9,0,Uttarakhand,0,26,developer,0.2651
118,440000,Bangalore,f,79.0,State,83.4,State,2,Bachelors,ECE,72.7,0,Jammu and Kashmir,3,22,developer,0.33827999999999997
119,305000,Bangalore,f,90.04,n/a,75.16,n/a,2,Bachelors,ECE,77.0,0,Karnataka,1,24,engineer,-0.2303
120,500000,Gurgaon,f,76.0,State,76.6,State,2,Bachelors,CSE,77.58,0,Haryana,3,21,engineer,-0.36334
121,270000,Mysore,m,60.4,State,60.0,State,2,Bachelors,ECE,62.0,0,Uttar Pradesh,0,25,engineer,0.21516000000000002
122,300000,Noida,m,74.23,State,77.77,State,2,Bachelors,CSE,75.6,0,Punjab,1,21,engineer,0.49799999999999994
123,1200000,Maharajganj,m,59.8,State,60.25,State,2,Bachelors,ME,68.63,0,Uttar Pradesh,1,22,engineer,0.45931999999999995
124,315000,,f,82.3,State,89.6,State,2,Bachelors,EEE,67.95,0,Punjab,1,23,analyst,0.46006
125,300000,Kolkata,m,90.0,State,86.4,State,2,Bachelors,EEE,65.7,0,Jharkhand,1,22,analyst,0.24364
126,320000,New Delhi,m,84.2,State,67.0,State,2,Bachelors,ECE,69.88,0,Uttar Pradesh,2,21,engineer,0.21386600000000003
127,180000,Thiruvananthapuram,m,86.4,State,80.4,State,2,Bachelors,CSE,61.54,0,Kerala,2,23,consultant,-0.03393999999999997
128,675000,Noida,m,60.0,n/a,59.0,n/a,2,Bachelors,CSE,67.0,0,Uttar Pradesh,4,23,others,-1.0820999999999998
129,120000,Punchkula,m,60.8,State,63.0,State,2,Bachelors,CSE,68.0,1,Tamil Nadu,1,22,developer,-0.06381999999999999
130,325000,Greater Noida,m,82.8,State,73.6,State,2,Bachelors,CSE,67.5,1,Karnataka,1,22,engineer,-0.11013999999999999
131,350000,Bangalore,m,82.6,State,63.6,State,2,Bachelors,CSE,71.0,0,Uttarakhand,1,23,engineer,-0.5808
132,205000,Hyderabad,f,74.0,State,61.1,State,2,Bachelors,CSE,71.0,1,Telangana,1,22,analyst,0.22371999999999997
133,300000,Bhubaneshwar,m,89.8,n/a,66.6,n/a,2,Bachelors,ECE,55.33,0,Orissa,1,25,others,0.2216600000000002
134,325000,Pune ,f,88.67,State,86.8,State,2,Bachelors,ECE,74.94,1,Telangana,1,22,engineer,-0.2772
135,105000,,m,64.66,State,63.0,State,2,Bachelors,CSE,67.0,0,Uttar Pradesh,1,21,others,-1.0485200000000001
136,250000,Greater Noida,m,78.0,State,77.0,State,2,Bachelors,ECE,68.64,0,Uttar Pradesh,5,21,others,-0.24872000000000005
137,340000,Gurgaon,m,77.8,State,79.6,State,1,Bachelors,CSE,70.12,1,Delhi,2,24,engineer,0.06614
138,195000,coimbatore,m,79.6,State,87.58,n/a,2,Bachelors,CSE,6.63,0,Tamil Nadu,1,23,manager,0.7339800000000001
139,320000,Noida,m,89.5,State,81.4,State,2,Bachelors,ME,60.0,0,Punjab,1,23,engineer,-0.11966000000000002
140,360000,Noida,m,81.2,State,76.4,State,2,Bachelors,ME,72.3,0,Uttar Pradesh,1,23,engineer,0.47468000000000005
141,145000,,m,80.0,State,89.0,State,2,Bachelors,CSE,62.0,1,Telangana,1,21,others,-0.25886
142,100000,Mysore,m,78.0,State,62.0,State,2,Bachelors,CSE,60.0,0,Karnataka,1,21,developer,-0.84256
143,325000,Dhanbad,m,72.0,State,62.0,State,2,Bachelors,EEE,53.0,1,Maharashtra,4,25,engineer,0.26318
144,385000,,m,64.56,State,66.66,State,2,Bachelors,EEE,65.02,0,Uttar Pradesh,2,21,engineer,0.06492
145,120000,Noida,m,60.0,State,47.0,State,2,Bachelors,CSE,59.9,0,Uttar Pradesh,1,23,engineer,0.18784
146,235000,Mumbai,f,91.12,State,72.0,State,2,Bachelors,CSE,74.0,1,West Bengal,1,22,engineer,0.4750199999999999
147,615000,Noida,m,80.0,State,77.2,State,2,Bachelors,CSE,76.76,0,Uttar Pradesh,2,20,engineer,-0.6274599999999999
149,290000,Bangalore,f,88.6,State,78.0,State,2,Bachelors,CSE,84.0,1,West Bengal,1,24,developer,0.25098
150,145000,Lucknow,m,72.0,State,54.0,State,2,Bachelors,CSE,64.0,0,Uttar Pradesh,1,23,developer,-0.15502000000000002
151,305000,Noida,m,85.0,State,80.0,State,2,Bachelors,ECE,63.0,0,Uttar Pradesh,2,22,engineer,-0.24196000000000004
152,275000,Noida,f,78.33,State,67.6,State,2,Bachelors,CSE,65.72,0,Haryana,1,21,others,0.7619400000000001
153,180000,Hyderabad,m,81.33,State,91.9,State,2,Bachelors,ECE,70.56,1,Tamil Nadu,1,21,analyst,-0.49804000000000004
154,140000,,f,77.8,State,67.6,State,2,Bachelors,ECE,83.5,0,Uttarakhand,2,26,executive,-0.14705400000000002
155,120000,Trivandrum,m,75.0,State,80.0,State,2,Bachelors,ECE,60.85,0,Kerala,1,24,engineer,-0.5770199999999999
156,320000,Bhubaneswar,m,73.0,State,63.1,State,2,Bachelors,EEE,73.2,0,Orissa,3,21,engineer,0.7176399999999998
157,405000,Hyderabad,m,77.0,State,60.2,State,2,Bachelors,CSE,68.5,0,Uttar Pradesh,2,24,engineer,-0.38608
158,325000,Pune,m,78.0,State,76.6,State,1,Bachelors,CSE,75.0,0,Uttar Pradesh,1,22,engineer,-0.15238000000000004
159,340000,Kolkata,m,87.0,State,79.0,State,2,Bachelors,CSE,78.0,1,West Bengal,1,22,developer,-3.3556600000000003
160,225000,Gurgaon,f,72.0,State,69.0,State,2,Bachelors,CSE,72.0,0,Haryana,2,22,analyst,0.20600000000000002
161,200000,kolkata,m,73.0,State,61.0,State,2,Bachelors,CSE,58.0,0,Karnataka,1,24,developer,0.51372
162,225000,New Delhi,m,78.0,State,72.0,State,2,Bachelors,CSE,64.0,0,Uttarakhand,1,23,others,0.67864
163,335000,Chennai,m,73.0,State,68.46,State,1,Bachelors,CSE,63.0,0,Rajasthan,0,23,analyst,-0.021679999999999987
164,350000,Noida,m,84.0,State,85.2,State,1,Bachelors,ECE,78.59,1,Delhi,1,22,engineer,-0.4352400000000001
165,240000,,m,79.0,State,72.0,State,1,Bachelors,ECE,78.96,1,Delhi,0,23,developer,1.0304259999999998
166,1860000,mumbai,f,89.7,n/a,89.6,n/a,1,Masters,EEE,83.9,0,Uttar Pradesh,2,23,engineer,-0.13011400000000017
167,435000,Gandhi Nagar,m,85.0,State,64.0,State,2,Bachelors,ME,65.0,0,Uttar Pradesh,2,23,engineer,0.56694
168,375000,Noida,m,85.8,State,78.4,State,1,Bachelors,CSE,77.56,1,Delhi,1,21,engineer,-0.4156000000000001
169,275000,Chennai,m,87.4,State,82.2,State,2,Bachelors,CSE,79.68,0,Uttar Pradesh,1,22,others,0.67046
170,235000,Hyderabad,m,92.66,State,95.6,State,2,Bachelors,CSE,71.44,0,Telangana,3,22,engineer,0.39508
171,455000,Pune,m,76.87,State,81.33,State,2,Bachelors,CSE,74.5,0,Madhya Pradesh,2,22,engineer,0.416606
172,110000,Una,f,70.0,State,70.0,State,2,Bachelors,CE,65.0,0,Himachal Pradesh,1,21,others,0.6702600000000001
173,180000,Hyderabad ,m,91.3,State,88.9,State,2,Bachelors,CSE,74.86,1,Telangana,1,21,engineer,0.04334000000000001
174,430000,Chennai,m,77.9,State,82.75,State,2,Bachelors,ECE,67.2,0,Tamil Nadu,2,22,developer,-0.22360000000000008
175,450000,Bangalore,f,76.2,State,72.6,State,2,Bachelors,CSE,74.7,0,Rajasthan,2,22,engineer,-0.14698
176,240000,New Delhi,f,77.78,State,66.67,State,2,Bachelors,ECE,79.0,0,Haryana,2,22,engineer,-0.048720000000000006
177,660000,Pune,m,78.0,n/a,67.0,n/a,2,Masters,CSE,78.0,1,Telangana,4,23,senior,0.6668
178,120000,Kolkata,f,81.33,n/a,78.4,n/a,2,Masters,CSE,71.25,1,West Bengal,1,24,developer,0.3159399999999998
179,300000,Bangalore,m,65.6,State,70.2,ICSE,2,Bachelors,CSE,79.0,1,West Bengal,2,24,engineer,-0.027600000000000013
180,180000,New Delhi,m,65.8,State,76.8,State,2,Bachelors,EEE,77.5,0,Rajasthan,1,22,engineer,-0.39518
181,70000,Kolkata,m,67.75,State,61.5,State,2,Bachelors,CSE,76.1,1,West Bengal,1,21,developer,-0.19988
182,300000,Pune,f,91.6,State,88.9,State,2,Bachelors,ECE,75.3,0,Andhra Pradesh,1,22,engineer,0.39124
183,215000,Daman and Diu,m,78.66,State,70.6,State,2,Bachelors,EEE,74.96,0,Uttar Pradesh,1,22,engineer,-0.005859999999999976
184,450000,Noida,m,85.6,State,79.4,State,1,Bachelors,ECE,67.23,0,Uttar Pradesh,3,22,engineer,-1.2388
185,180000,New Delhi,m,78.4,State,61.8,State,2,Bachelors,ECE,62.6,0,Haryana,3,23,engineer,0.4871460000000002
186,240000,New Delhi,m,61.0,State,48.0,State,2,Bachelors,CSE,68.16,0,Uttar Pradesh,3,23,analyst,-0.53342
187,410000,Hyderabad,m,91.5,n/a,95.5,n/a,2,Bachelors,CSE,93.0,0,Tamil Nadu,2,23,analyst,0.470326
188,300000,mohali,m,75.0,State,67.0,State,2,Masters,CSE,72.0,0,Punjab,1,24,developer,-0.25687999999999994
189,305000,,m,90.4,State,79.0,State,2,Bachelors,CSE,75.16,0,Uttar Pradesh,1,24,engineer,-0.41186
190,215000,Chennai,m,81.2,State,80.7,State,2,Bachelors,CSE,74.3,0,Tamil Nadu,1,22,engineer,0.0504
191,200000,Hyderabad,m,58.6,State,60.4,State,2,Bachelors,ME,72.8,1,Telangana,2,21,engineer,-0.46762
192,300000,Gurgaon,m,77.0,State,77.14,State,2,Bachelors,ME,74.36,1,Tamil Nadu,1,21,engineer,0.5378200000000001
193,550000,Mumbai,m,82.2,n/a,74.0,n/a,1,Bachelors,ECE,60.0,1,Rajasthan,4,25,developer,-0.2157
194,35000,Gurgaon,f,86.0,n/a,75.2,n/a,2,Bachelors,CSE,76.6,0,Punjab,3,23,engineer,-0.56584
195,350000,New Delhi,m,82.0,State,81.2,State,1,Bachelors,CSE,71.67,1,Delhi,1,23,engineer,0.07750000000000001
196,500000,Mysore,m,84.0,State,80.8,State,1,Bachelors,ME,72.0,1,Delhi,3,23,others,0.3159859999999998
197,240000,chennai,m,81.0,State,88.88,State,2,Bachelors,EEE,75.1,0,Tamil Nadu,1,21,engineer,-0.11257999999999999
198,385000,Gurgaon,m,90.1,State,87.0,State,1,Bachelors,ECE,78.34,1,Delhi,2,22,engineer,-0.6388
199,105000,HYDERABAD,m,86.17,State,83.9,State,2,Bachelors,ECE,68.0,1,Telangana,1,21,others,0.5770000000000001
200,440000,Gurgaon,m,91.4,State,86.0,State,1,Masters,CSE,90.24,0,Haryana,2,24,engineer,-0.3120200000000001
201,200000,GURGOAN,m,83.89,State,67.0,State,2,Bachelors,ECE,80.07,0,Punjab,0,23,associate,0.23284
202,115000,,m,81.2,State,65.2,State,2,Bachelors,CSE,68.96,0,Uttar Pradesh,1,24,developer,-0.7325799999999999
203,180000,vsakhapttnam,m,76.7,n/a,83.1,n/a,2,Bachelors,other,79.3,0,West Bengal,1,21,engineer,-0.23192000000000004
204,305000,pune,m,88.2,State,78.2,State,2,Bachelors,ECE,82.1,0,Orissa,1,22,engineer,-0.03056000000000001
205,325000,Noida,m,80.6,State,80.6,State,2,Bachelors,CSE,70.3,1,Delhi,0,23,engineer,-0.81792
206,450000,,m,85.0,State,87.0,State,1,Bachelors,ECE,87.8,1,Karnataka,1,21,trainee,-0.0032200000000000006
207,360000,Bangalore,m,82.0,State,70.16,State,2,Bachelors,CSE,85.8,0,Orissa,2,22,engineer,-2.4236
208,450000,,m,91.0,State,90.91,State,2,Bachelors,ECE,83.2,0,Tamil Nadu,4,21,engineer,0.65376
209,300000,Bangalore,f,87.0,State,84.7,State,2,Bachelors,CSE,76.67,1,Telangana,1,22,engineer,0.76676
210,310000,Lucknow,m,69.0,State,69.0,State,2,Bachelors,ECE,67.8,0,Uttar Pradesh,2,23,engineer,-1.1987999999999999
211,350000,Nagpur,m,74.4,State,74.4,State,2,Bachelors,ME,69.11,0,Uttar Pradesh,3,22,engineer,0.24489999999999998
212,240000,Bhagalpur,m,79.28,State,68.55,State,2,Bachelors,ME,79.75,0,Tamil Nadu,1,24,engineer,0.13733999999999996
213,445000,Bangalore,m,84.96,State,59.16,State,2,Bachelors,CSE,68.22,1,Karnataka,2,23,analyst,-0.13648
